"sesso";"titolo";"giuridica2";"area";"corso";"aula";"edizione";"ore";"trimestre";"iscritti";"formati";"esito"
"F";"DIPLOMA DI MATURITA                ";"Categoria C";"COMUNICAZIONE                           ";"CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ";"FUORI";"B09MS";16;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"ECONOMICO FINANZIARIA                   ";"IL MODELLO DI PROGRAMMAZIONE REGIONALE                                          ";"FUORI";"D09MS";24;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"EUROPEA                                 ";"EUROPROGETTAZIONE                                                               ";"FUORI";"A09AL";32;3;1;NA;0
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"EUROPEA                                 ";"LA NUOVA IMPOSTAZIONE DEL F.S.E 2007-2013: MONITORAGGIO, CONTROLLI E RENDICONTAZ";"FUORI";"A09CB";33;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"EUROPEA                                 ";"I FONDI STRUTTURALI: LA RENDICONTAZIONE DEI FONDI 2007-2013                     ";"DENTRO";"A08AL";16;1;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"ORGANIZZAZIONE E RISORSE UMANE          ";"ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ";"DENTRO";"B09MS";16;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ";"FUORI";"A09BB";4;3;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"D09MM";8;4;1;1;1
"F";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ";"FUORI";"D09MS";8;4;1;NA;0
"F";"LICENZA SCUOLA MEDIA               ";"Categoria B";"COMUNICAZIONE                           ";"UTILIZZO DELLE RISORSE IN LINEA DELLA SEZIONE INTRANET DELLA BIBLIOTECA DELLA GI";"FUORI";"A09FV";8;3;1;NA;0
